Num_ID	Leaf	Num_ID.x	Directory	Camalexin_Plate	HPLC_Plate_Position	HPLC_Plate	HPLC_Row	HPLC_column	Plate_Position	Plate_Cam	Exp_Tray.x	Geno	Surface.x	Iso	Treatment	Flavo	P3min	Camalexin	Num_ID.y	Genotype	IsoSur	Isolate	Surface.y	Image	Exp_Tray.y	Image_Num	Lesion.0.m.cx	Lesion.0.m.cy	Lesion.0.m.majoraxis	Lesion.0.m.eccentricity	Lesion.0.m.theta	Lesion.0.s.area	Lesion.0.s.perimeter	Lesion.0.s.radius.mean	Lesion.0.s.radius.sd	Lesion.0.s.radius.min	Lesion.Size	Leaf.Size	Lesion.Prop	Leaf.Grn	Leaf.Ylw	Lesion.Grn	Lesion.Ylw	LEFcm	LEScm	LESPropcm	LEFYlwcm	LEFGrncm	Cam_LF	Cam_LP	Flavo_LF	P3_LF	P3_LP
21	T1-MYB28-D-01_04_20	6	CC_FEB142019_CAM1-1AF-4101.D	Cam_P01	P1-A-06	P1	A	6	P1-A-06	Cam_P01-A-6	T1	MYB28	D	01_04_20	Treatment	170.80081	0	40.92857	55	MYB28	01_04_20-D	01_04_20	Down	T1_IMG_4138	T1	4138	2542.102941	1631.875	18.81863191	0.861277529	-1.071819334	136	43	6.371857894	1.717397457	2.686524673	136	15277	0.008902271	5489	9622	23	22	1.920031571	0.017092642	1.12E-06	1.20930443	0.689864063	21.31661303	0.951827209	88.95729246	0	0
22	T1-MYB28-D-02_04_04	50	CC_FEB142019_CAM1-1EB-1301.D	Cam_P01	P1-E-02	P1	E	2	P1-E-02	Cam_P01-E-2	T1	MYB28	D	02_04_04	Treatment	221.56944	0	122.16197	54	MYB28	02_04_04-D	02_04_04	Down	T1_IMG_4138	T1	4138	862.4440625	1635.712188	89.67227681	0.855691136	0.146202183	3200	211	32.37690863	7.934981242	18.1889585	3200	21399	0.149539698	3632	14501	17	1501	2.689451829	0.402179815	1.88E-05	1.822502966	0.45647409	45.42262802	0.578966682	82.38460999	0	0
23	T1-MYB28-D-02_04_08	79	CC_FEB142019_CAM1-1GG-5501.D	Cam_P01	P1-G-07	P1	G	7	P1-G-07	Cam_P01-G-7	T1	MYB28	D	02_04_08	Treatment	164.56345	0	52.05011	60	MYB28	02_04_08-D	02_04_08	Down	T1_IMG_4138	T1	4138	3289.338857	1659.919635	48.94314615	0.754239337	0.49299389	1207	126	19.44136995	3.348661313	13.52929503	1207	17373	0.069475623	6033	9803	11	662	2.18345935	0.151697199	8.73E-06	1.232052726	0.758234632	23.83836915	0.413096111	75.36822246	0	0
24	T1-MYB28-D-Apple517	28	CC_FEB142019_CAM1-1CD-2701.D	Cam_P01	P1-C-04	P1	C	4	P1-C-04	Cam_P01-C-4	T1	MYB28	D	Apple517	Treatment	110.59	0	66.25917	57	MYB28	Apple517-D	Apple517	Down	T1_IMG_4138	T1	4138	1688.934694	1635.183673	22.60784768	0.785028415	-0.131950288	245	56	8.503245441	1.627837597	5.750027728	245	21219	0.011546256	7578	13350	0	147	2.666829214	0.030791892	1.45E-06	1.677843914	0.952412073	24.84567427	1.183199464	41.46872226	0	0
25	T1-MYB28-D-Grape	57	CC_FEB142019_CAM1-1EI-6901.D	Cam_P01	P1-E-09	P1	E	9	P1-E-09	Cam_P01-E-9	T1	MYB28	D	Grape	Treatment	158.91922	0	0	56	MYB28	Grape-D	Grape	Down	T1_IMG_4138	T1	4138	4024.246345	1650.013292	72.90908976	0.82952339	-0.176478674	2257	182	27.20018351	6.168835179	16.38284736	2257	19264	0.117161545	2493	11512	3	169	2.421122484	0.28366245	1.47E-05	1.446841883	0.313323212	0	0	65.63865358	0	0
26	T1-MYB28-U-01_04_20	17	CC_FEB142019_CAM1-1BE-3401.D	Cam_P01	P1-B-05	P1	B	5	P1-B-05	Cam_P01-B-5	T1	MYB28	U	01_04_20	Treatment	100.51926	0	0	52	MYB28	01_04_20-U	01_04_20	Up	T1_IMG_4138	T1	4138	2109.169811	1646.767296	16.27124009	0.630279802	-0.683257908	159	43	6.708757323	0.801995726	5.421797642	159	21808	0.007290902	20564	1009	8	75	2.740855436	0.01998331	9.16E-07	0.126812323	2.584508034	0	0	36.67441145	0	0
27	T1-MYB28-U-02_04_04	61	CC_FEB142019_CAM1-1FA-0601.D	Cam_P01	P1-F-01	P1	F	1	P1-F-01	Cam_P01-F-1	T1	MYB28	U	02_04_04	Treatment	236.53035	0	0	59	MYB28	02_04_04-U	02_04_04	Up	T1_IMG_4138	T1	4138	373.3638403	1652.412517	100.1787138	0.817451754	0.11176155	4458	247	38.15197861	7.946614602	25.11960277	4458	21317	0.209128864	6439	9266	175	2855	2.679145971	0.560286754	2.63E-05	1.164561926	0.809261196	0	0	88.28572707	0	0
28	T1-MYB28-U-02_04_08	90	CC_FEB142019_CAM1-1HF-4801.D	Cam_P01	P1-H-06	P1	H	6	P1-H-06	Cam_P01-H-6	T1	MYB28	U	02_04_08	Treatment	123.56051	0	39.71103	53	MYB28	02_04_08-U	02_04_08	Up	T1_IMG_4138	T1	4138	2901.72093	1637.686047	20.21170485	0.832474258	-0.61005003	172	46	7.283122745	1.679994097	3.756594705	172	22734	0.007565761	21682	612	16	85	2.85723622	0.021617165	9.51E-07	0.07691689	2.725019606	13.89840634	0.863283261	43.24476539	0	0
29	T1-MYB28-U-Apple517	39	CC_FEB142019_CAM1-1DC-2001.D	Cam_P01	P1-D-03	P1	D	3	P1-D-03	Cam_P01-D-3	T1	MYB28	U	Apple517	Treatment	120.84338	17.56687	106.37063	51	MYB28	Apple517-U	Apple517	Up	T1_IMG_4138	T1	4138	1275.108782	1645.206587	37.82316717	0.424026138	0.485191463	1002	106	17.45055777	1.395339611	14.22172549	1002	19015	0.052695241	16459	1188	238	498	2.389827867	0.125932554	6.62E-06	0.149309256	2.06858674	44.50974544	1.003496509	50.56572553	7.350684224	0.165725189
30	T1-MYB28-U-Grape	68	CC_FEB142019_CAM1-1FH-6201.D	Cam_P01	P1-F-08	P1	F	8	P1-F-08	Cam_P01-F-8	T1	MYB28	U	Grape	Treatment	155.20499	0	0	58	MYB28	Grape-U	Grape	Up	T1_IMG_4138	T1	4138	3685.77561	1648.356098	46.19453173	0.469144982	-0.699987283	1435	136	21.08353059	2.220353402	16.14193673	1435	15394	0.093218137	4602	9148	0	926	1.934736271	0.180352511	1.17E-05	1.149731545	0.578384846	0	0	80.22023072	0	0
